,Practice_Code,BNF_Code,BNF_Description,Items,Quantity,ADQ_Usage
0,P82016,0102000ACAAARAR,Atrop Sulf_Liq Spec 600mcg/5ml,1,200,20.0
1,F85007,0102000P0BCABAB,Colofac_Tab 135mg,4,100,133.33332
2,E87045,0102000P0BHAAAB,Boots_IBS Relief Tab 135mg,1,120,39.99999
3,E87002,0102000T0AAAAAA,Peppermint Oil_Cap E/C 0.2ml,7,84,195.99998
4,M86006,0103010H0AAAAAA,Famotidine_Tab 20mg,1,28,14.0
5,E81022,0103010T0AAAEAE,Ranitidine HCl_Oral Soln 75mg/5ml S/F,2,300,30.0
6,J81019,0103010T0AABRBR,Ranitidine HCl_Oral Susp 5mg/5ml,1,100,0.33333
7,P92034,0103010T0BBACAC,Zantac_Tab 300mg,1,56,56.0
8,L81083,0103050E0BDAAAF,Ventra_Cap G/R 20mg,13,7,91.0
9,L81031,0103050L0AAAYAY,Lansoprazole_Oral Susp 30mg/5ml,1,150,45.0
10,P92042,0103050T0AAABAB,Rabeprazole Sod_Tab E/C 20mg,2,112,298.66666
11,B86069,0104020L0AAAFAF,Loperamide HCl_Liq Spec 1mg/5ml,1,100,2.5
12,L81649,0104020L0BBALAA,Imodium IBS Relief_Cap 2mg,1,18,4.5
13,E81611,0105010B0AAAIAI,Mesalazine_Tab 500mg M/R,1,200,62.5
14,P92023,0105010B0AAATAT,Mesalazine_Gran Sach 2g M/R S/F,1,30,37.5
15,P92019,0105010B0BDAIAJ,Salofalk_Suppos 1g,1,30,18.75
16,C83008,0105020A0AAAAAA,Budesonide_Cap 3mg (E/C M/R Gran),1,100,33.33333
17,E81044,0106010E0AAATAT,Ispag Husk_Gran Sach 3.5g G/F,1,60,30.0
18,P92038,0106010E0BKABAN,Fybogel_H/Fbre Gran Eff Sach3.5g Lem S/F,1,90,45.0
19,P92026,0106020I0AAAIAI,Docusate Sod_Oral Soln 50mg/5ml S/F,1,1200,60.0
20,C84094,0106020I0BEAAAJ,Norgalax_Micro-Enem 120mg 10g Tube,1,28,28.0
21,P92023,0106020L0AAACAC,Glycerol_Suppos Adult's (4g),1,72,72.0
22,P92023,0106040G0BEAAAA,Lactugal_Soln,1,500,25.0
23,C84024,0106040M0BBAAAA,Movicol_Pdr Sach 13.8g (Lem & Lim),3,40,60.0
24,A83038,0106040M0BFABAE,Macroherm_Oral Pdr Sach 13.8g,1,30,15.0
25,Y05712,0106040N0BDAAAD,Cleen_Enem Phos 133ml,1,1,1.0
26,E87742,0202020L0AAAAAA,Furosemide_Inj 10mg/ml 2ml Amp,1,20,10.0
27,P92019,0202020L0AABQBQ,Furosemide_Oral Soln 20mg/5ml S/F,2,150,30.0
28,Y05106,0202020L0AABZBZ,Furosemide_Liq Spec 20mg/5ml,1,140,14.0
29,K83020,0202030S0AACRCR,Spironol_Liq Spec 100mg/5ml,1,400,320.0
30,C88042,0202040A0BBAAAA,Navispare_Tab,1,28,28.0
31,P92016,0202040C0AAABAB,Co-Amilozide_Tab 2.5mg/25mg,1,56,56.0
32,M86010,0203020I0AAAZAZ,Flecainide Acet_Liq Spec 100mg/5ml,1,150,15.0
33,G83005,0203020I0BBACAK,Tambocor_Tab 50mg,1,120,30.0
34,E81008,0203020R0BCAAAA,Arythmol_Tab 150mg,1,112,56.0
35,K81036,0204000H0AABBBB,Bisoprolol Fumar_Liq Spec 7.5mg/5ml,1,150,22.5
36,D81001,0204000H0AABJBJ,Bisoprolol Fumar_Oral Soln 1.25mg/5ml,2,200,10.0
37,P92003,0204000H0BFAEAL,Cardicor_Tab 7.5mg,1,28,21.0
38,A87005,0204000K0BBAAAB,Betaloc_Tab 50mg,1,224,74.66666
39,E81050,0204000P0AAAAAA,Pindolol_Tab 5mg,3,84,83.99999
40,D81029,0205010N0AAAAAA,Minoxidil_Tab 2.5mg,1,60,7.5
41,P92633,0205010N0AAABAB,Minoxidil_Tab 5mg,1,28,7.0
42,G82150,0205040D0AAAAAA,Doxazosin Mesil_Tab 1mg,2,28,14.0
43,D83040,0205040D0BBAAAA,Cardura_Tab 1mg,1,28,7.0
